gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note,corpus_file
04384,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. [Rom: Stephan Plannck, um 1490]. 8°",Rom,1490,1490,deutsch,ib00683700,https://gesamtkatalogderwiegendrucke.de/docs/GW04384.htm,https://data.cerl.org/istc/ib00683700,,supplementary-gw-corpus.csv
0438420N,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. Augsburg: Erhard Ratdolt auf Veranlassung von Florian Waldauf, 1492.",Augsburg,1492,1492,deutsch,,https://gesamtkatalogderwiegendrucke.de/docs/GW0438420N.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden,supplementary-gw-corpus.csv
04385,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. Zweibrücken: Jörg Gessler, [um 1492]. 8°",Zweibrücken,1492,1492,deutsch,ib00683800,https://gesamtkatalogderwiegendrucke.de/docs/GW04385.htm,https://data.cerl.org/istc/ib00683800,,supplementary-gw-corpus.csv
04386,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. [Basel: Johann Amerbach, um 1492]. 8°",Basel,1492,1492,deutsch,ib00684000,https://gesamtkatalogderwiegendrucke.de/docs/GW04386.htm,https://data.cerl.org/istc/ib00684000,,supplementary-gw-corpus.csv
04387,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. [Reutlingen: Michael Greyff, um 1494]. 8°",Reutlingen,1494,1494,deutsch,ib00685000,https://gesamtkatalogderwiegendrucke.de/docs/GW04387.htm,https://data.cerl.org/istc/ib00685000,,supplementary-gw-corpus.csv
04388,"Pseudo-Birgitta: Orationes quindecim, deutsch.","Pseudo-Birgitta: Orationes quindecim, deutsch. [Rom: Stephan Plannck, um 1495]. 8°",Rom,1495,1495,deutsch,ib00685100,https://gesamtkatalogderwiegendrucke.de/docs/GW04388.htm,https://data.cerl.org/istc/ib00685100,,supplementary-gw-corpus.csv
0438805N,"Pseudo-Birgitta: Orationes quindecim, engl.","Pseudo-Birgitta: Orationes quindecim, engl. [Westminster]: William Caxton auf Veranlassung von Elisabeth (von York), Königin von England, und Margaret Beaufort, [um 1491]. 4°",Westminster,1491,1491,engl.,ib00683600,https://gesamtkatalogderwiegendrucke.de/docs/GW0438805N.htm,https://data.cerl.org/istc/ib00683600,,supplementary-gw-corpus.csv
0567010N,"Buchsbaum, Sixt: Unser lieben Frauen Rosenkranz.","Buchsbaum, Sixt: Unser lieben Frauen Rosenkranz. Erfurt: Hans Sporer, 1494.",Erfurt,1494,1494,,ib01268480,https://gesamtkatalogderwiegendrucke.de/docs/GW0567010N.htm,https://data.cerl.org/istc/ib01268480,,supplementary-gw-corpus.csv
05671,"Buchsbaum, Sixt: Unser lieben Frauen Rosenkranz.","Buchsbaum, Sixt: Unser lieben Frauen Rosenkranz. [München: Johann Schobser, nicht vor 1500]. 8°",München,1500,1500,,ib01268520,https://gesamtkatalogderwiegendrucke.de/docs/GW05671.htm,https://data.cerl.org/istc/ib01268520,,supplementary-gw-corpus.csv
05686,Büchlein vom Gebet.,"Büchlein vom Gebet. Augsburg: Johann Froschauer, 1499. 4°",Augsburg,1499,1499,,ib01273000,https://gesamtkatalogderwiegendrucke.de/docs/GW05686.htm,https://data.cerl.org/istc/ib01273000,,supplementary-gw-corpus.csv
12944,Horae.,"Horae. [Deutschland, nach 1500(?)]. 16(?)°",Deutschland,1500,1500,,ih00436430,https://gesamtkatalogderwiegendrucke.de/docs/GW12944.htm,https://data.cerl.org/istc/ih00436430,,horae-gw-corpus.csv
12945,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1487. 8°",Augsburg,1487,1487,,ic00990000,https://gesamtkatalogderwiegendrucke.de/docs/GW12945.htm,https://data.cerl.org/istc/ic00990000,,horae-gw-corpus.csv
12946,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1489. 8°",Augsburg,1489,1489,,ic00991000,https://gesamtkatalogderwiegendrucke.de/docs/GW12946.htm,https://data.cerl.org/istc/ic00991000,,horae-gw-corpus.csv
12947,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1492. 8°",Augsburg,1492,1492,,ic00992000,https://gesamtkatalogderwiegendrucke.de/docs/GW12947.htm,https://data.cerl.org/istc/ic00992000,,horae-gw-corpus.csv
12948,Horae. Officium BMV secundum consuetudinem Romanae curiae.,"Horae. Officium BMV secundum consuetudinem Romanae curiae. Basel: Bernhard Richel, 15.VII.1480. 16°",Basel,1480,1480,,ih00357480,https://gesamtkatalogderwiegendrucke.de/docs/GW12948.htm,https://data.cerl.org/istc/ih00357480,,horae-gw-corpus.csv
12949,Horae. Officium BMV secundum consuetudinem Romanae curiae.,"Horae. Officium BMV secundum consuetudinem Romanae curiae. [Basel: Johann Amerbach, um 1482/86]. 16°",Basel,1482,1486,,ih00357745,https://gesamtkatalogderwiegendrucke.de/docs/GW12949.htm,https://data.cerl.org/istc/ih00357745,,horae-gw-corpus.csv
12950,Horae. Paradisus animae.,"Horae. Paradisus animae. Basel: Michael Wenssler, 1.IV.1491. 16°",Basel,1491,1491,,ip00079500,https://gesamtkatalogderwiegendrucke.de/docs/GW12950.htm,https://data.cerl.org/istc/ip00079500,,horae-gw-corpus.csv
12951,Horae. Paradisus animae.,"Horae. Paradisus animae. Basel: Jakob Wolff, 13.IV.1498. 16°",Basel,1498,1498,,ip00079700,https://gesamtkatalogderwiegendrucke.de/docs/GW12951.htm,https://data.cerl.org/istc/ip00079700,,horae-gw-corpus.csv
