gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
12994,"Horae, deutsch. Ein schön deutsch Kalender.","Horae, deutsch. Ein schön deutsch Kalender. Ulm: Johann Reger, 3.VI.1491. 16°",Ulm,1491,1491,deutsch,ik00003600,https://gesamtkatalogderwiegendrucke.de/docs/GW12994.htm,https://data.cerl.org/istc/ik00003600,
12995,"Horae, deutsch.","Horae, deutsch. [Ulm: Johann Schäffler, um 1493]. 16°",Ulm,1493,1493,deutsch,ih00433480,https://gesamtkatalogderwiegendrucke.de/docs/GW12995.htm,https://data.cerl.org/istc/ih00433480,
12996,"Horae, deutsch. Die sieben Zeiten von Unserer Lieben Frau.","Horae, deutsch. Die sieben Zeiten von Unserer Lieben Frau. [Urach: Konrad Fyner, um 1482]. 8°",Urach,1482,1482,deutsch,ih00433350,https://gesamtkatalogderwiegendrucke.de/docs/GW12996.htm,https://data.cerl.org/istc/ih00433350,
12997,"Horae, ripuarisch. Unser Liever Vrauwen getzijde.","Horae, ripuarisch. Unser Liever Vrauwen getzijde. [Köln: Drucker der Getzijden (GW 12997), um 1485]. 8°",Köln,1485,1485,,ih00429200,https://gesamtkatalogderwiegendrucke.de/docs/GW12997.htm,https://data.cerl.org/istc/ih00429200,
12998,"Horae, niederdeutsch. Cursus to dude.","Horae, niederdeutsch. Cursus to dude. [Leipzig: Konrad Kachelofen, um 1500]. 16°",Leipzig,1500,1500,niederdeutsch,ih00433700,https://gesamtkatalogderwiegendrucke.de/docs/GW12998.htm,https://data.cerl.org/istc/ih00433700,
12999,"Horae, niederdeutsch.","Horae, niederdeutsch. [Lübeck: Lukas Brandis, um 1478]. 8°",Lübeck,1478,1478,niederdeutsch,ig00113060,https://gesamtkatalogderwiegendrucke.de/docs/GW12999.htm,https://data.cerl.org/istc/ig00113060,
13000,"Horae, niederdeutsch. Darin: Gesselen, Konrad: Cisioianus.","Horae, niederdeutsch. Darin: Gesselen, Konrad: Cisioianus. [Lübeck: Johann Snell, um 1482]. 16°",Lübeck,1482,1482,niederdeutsch,ig00113080,https://gesamtkatalogderwiegendrucke.de/docs/GW13000.htm,https://data.cerl.org/istc/ig00113080,
13001,"Horae, niederdeutsch.","Horae, niederdeutsch. [Lübeck: Bartholomäus Ghotan, um 1484]. 8°",Lübeck,1484,1484,niederdeutsch,,https://gesamtkatalogderwiegendrucke.de/docs/GW13001.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
13002,"Horae, niederdeutsch.","Horae, niederdeutsch. Lübeck: Bartholomäus Ghotan, [um 1484]. 8°",Lübeck,1484,1484,niederdeutsch,ig00113100,https://gesamtkatalogderwiegendrucke.de/docs/GW13002.htm,https://data.cerl.org/istc/ig00113100,
13003,"Horae, niederdeutsch.","Horae, niederdeutsch. Lübeck: Bartholomäus Ghotan, 1485. 8°",Lübeck,1485,1485,niederdeutsch,ig00113110,https://gesamtkatalogderwiegendrucke.de/docs/GW13003.htm,https://data.cerl.org/istc/ig00113110,
